Group,Trait,House and Planets,Status,Points
Work & Collaboration Trait,Work Ethic,Base,Base,5
Work & Collaboration Trait,Work Ethic,Saturn (discipline & endurance),Exalted/own in 1/6/10,3
Work & Collaboration Trait,Work Ethic,Saturn (discipline & endurance),Strong in 3/9/11,2
Work & Collaboration Trait,Work Ethic,Saturn (discipline & endurance),Connected to 6th or 10th,1
Work & Collaboration Trait,Work Ethic,Saturn (discipline & endurance),Weak/afflicted,-1
Work & Collaboration Trait,Work Ethic,Saturn (discipline & endurance),Debilitated & heavily afflicted,-2
Work & Collaboration Trait,Work Ethic,Mars (drive & execution),Exalted/own & linked to 6th/10th,2
Work & Collaboration Trait,Work Ethic,Mars (drive & execution),Strong but not work-linked,1
Work & Collaboration Trait,Work Ethic,Mars (drive & execution),Debilitated & harms Moon/Lagna,-1
Work & Collaboration Trait,Work Ethic,6th house & lord (daily work),"Lord strong + links to Saturn/Mars, clear (+2)",2
Work & Collaboration Trait,Work Ethic,6th house & lord (daily work),"Lord average, benefic support, not afflicted (+1)",1
Work & Collaboration Trait,Work Ethic,6th house & lord (daily work),Lord weak in 8/12 and somewhat afflicted (–1),-1
Work & Collaboration Trait,Work Ethic,6th house & lord (daily work),Lord debilitated + heavily afflicted 6th (–2),-2
Work & Collaboration Trait,Work Ethic,10th house & lord (career work),Strong 10th lord in Kendra/Trikona,2
Work & Collaboration Trait,Work Ethic,10th house & lord (career work),"10th lord average, supported by Saturn/Jupiter",1
Work & Collaboration Trait,Work Ethic,10th house & lord (career work),10th lord weak or in 6/8/12,-1
Work & Collaboration Trait,Work Ethic,10th house & lord (career work),Debilitated 10th lord + heavy affliction,-2
Work & Collaboration Trait,Work Ethic,Lagna & lord (nature),Fixed/Earth Lagna with strong lord,1
Work & Collaboration Trait,Work Ethic,Lagna & lord (nature),Dual Lagna with weak lord,-1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Base,Base,5
Personal Character & Ethics Trait,Trustworthiness & Honesty,Sun (identity & leadership),Sun very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Trustworthiness & Honesty,Sun (identity & leadership),Sun strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Sun (identity & leadership),Sun weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Sun (identity & leadership),Sun very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Trustworthiness & Honesty,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Trustworthiness & Honesty,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Trustworthiness & Honesty,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Trustworthiness & Honesty,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Trustworthiness & Honesty,Ketu (detachment & intuition),Ketu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Trustworthiness & Honesty,Ketu (detachment & intuition),Ketu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Ketu (detachment & intuition),Ketu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Trustworthiness & Honesty,Ketu (detachment & intuition),Ketu very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Trustworthiness & Honesty,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Trustworthiness & Honesty,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Personal Character & Ethics Trait,Trustworthiness & Honesty,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Trustworthiness & Honesty,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Personal Character & Ethics Trait,Respectful Behavior,Base,Base,5
Personal Character & Ethics Trait,Respectful Behavior,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Respectful Behavior,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Respectful Behavior,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Respectful Behavior,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Respectful Behavior,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Respectful Behavior,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Respectful Behavior,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Respectful Behavior,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Respectful Behavior,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Respectful Behavior,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Respectful Behavior,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Respectful Behavior,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Respectful Behavior,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Respectful Behavior,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Respectful Behavior,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Respectful Behavior,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Respectful Behavior,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Respectful Behavior,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Respectful Behavior,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Respectful Behavior,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Loyalty & Commitment,Base,Base,5
Personal Character & Ethics Trait,Loyalty & Commitment,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Loyalty & Commitment,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Loyalty & Commitment,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Loyalty & Commitment,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Loyalty & Commitment,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Loyalty & Commitment,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Loyalty & Commitment,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Loyalty & Commitment,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Loyalty & Commitment,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Loyalty & Commitment,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Loyalty & Commitment,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Loyalty & Commitment,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Loyalty & Commitment,Ketu (detachment & intuition),Ketu very strong & well placed for this trait (own/exalted in key houses),2
Personal Character & Ethics Trait,Loyalty & Commitment,Ketu (detachment & intuition),Ketu strong or benefic-supported for this trait,1
Personal Character & Ethics Trait,Loyalty & Commitment,Ketu (detachment & intuition),Ketu weak or somewhat afflicted for this trait,-1
Personal Character & Ethics Trait,Loyalty & Commitment,Ketu (detachment & intuition),Ketu very weak/debilitated & heavily afflicted for this trait,-2
Personal Character & Ethics Trait,Loyalty & Commitment,7th house & lord (partnerships),7H lord strong & well placed (supports this trait),2
Personal Character & Ethics Trait,Loyalty & Commitment,7th house & lord (partnerships),"7H lord average, some benefic support",1
Personal Character & Ethics Trait,Loyalty & Commitment,7th house & lord (partnerships),7H lord weak or placed in 6/8/12,-1
Personal Character & Ethics Trait,Loyalty & Commitment,7th house & lord (partnerships),7H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Emotional Maturity,Base,Base,5
Emotional & Relationship Trait,Emotional Maturity,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Emotional Maturity,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Emotional Maturity,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Emotional Maturity,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Emotional Maturity,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Emotional Maturity,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Emotional Maturity,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Emotional Maturity,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Emotional Maturity,Jupiter (wisdom & expansion),Jupiter very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Emotional Maturity,Jupiter (wisdom & expansion),Jupiter strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Emotional Maturity,Jupiter (wisdom & expansion),Jupiter weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Emotional Maturity,Jupiter (wisdom & expansion),Jupiter very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Emotional Maturity,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Emotional Maturity,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Emotional Maturity,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Emotional Maturity,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Emotional Maturity,Ketu (detachment & intuition),Ketu very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Emotional Maturity,Ketu (detachment & intuition),Ketu strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Emotional Maturity,Ketu (detachment & intuition),Ketu weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Emotional Maturity,Ketu (detachment & intuition),Ketu very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Kindness & Compassion,Base,Base,5
Emotional & Relationship Trait,Kindness & Compassion,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Kindness & Compassion,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Kindness & Compassion,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Kindness & Compassion,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Kindness & Compassion,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Kindness & Compassion,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Kindness & Compassion,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Kindness & Compassion,Venus (love & harmony),Venus very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Kindness & Compassion,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Kindness & Compassion,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Kindness & Compassion,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Kindness & Compassion,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Effective Communication,Base,Base,5
Emotional & Relationship Trait,Effective Communication,Mercury (intellect & communication),Mercury very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Effective Communication,Mercury (intellect & communication),Mercury strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Effective Communication,Mercury (intellect & communication),Mercury weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Effective Communication,Mercury (intellect & communication),Mercury very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Effective Communication,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Effective Communication,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Effective Communication,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Effective Communication,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Effective Communication,3rd house & lord (effort/communication),3H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Effective Communication,3rd house & lord (effort/communication),"3H lord average, some benefic support",1
Emotional & Relationship Trait,Effective Communication,3rd house & lord (effort/communication),3H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Effective Communication,3rd house & lord (effort/communication),3H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Effective Communication,2nd house & lord (values/wealth),2H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Effective Communication,2nd house & lord (values/wealth),"2H lord average, some benefic support",1
Emotional & Relationship Trait,Effective Communication,2nd house & lord (values/wealth),2H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Effective Communication,2nd house & lord (values/wealth),2H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Effective Communication,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Effective Communication,10th house & lord (career/status),"10H lord average, some benefic support",1
Emotional & Relationship Trait,Effective Communication,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Effective Communication,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Supportiveness,Base,Base,5
Emotional & Relationship Trait,Supportiveness,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Supportiveness,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Supportiveness,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Supportiveness,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Supportiveness,Venus (love & harmony),Venus very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Supportiveness,Venus (love & harmony),Venus strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Supportiveness,Venus (love & harmony),Venus weak or somewhat afflicted for this trait,-1
